name_en	name_zh	address_en	address_zh	sub_district_en	sub_district_zh	district_en	district_zh	area_en	area_zh	x	y	lat	long
Chau Tau Tsuen Public Toilet	洲頭村公廁	Chau Tau Tsuen Public Toilet, Lok Ma Chau, Yuen Long, NT	新界元朗落馬洲洲頭村公廁	Lok Ma Chau	落馬洲	Yuen Long	元朗	New Territories	新界	826712	840690	22.505816856	114.084000367
Che Ha Village Public Toilet	輋下村公廁	Che Ha Village Public Toilet, Sai Kung, NT	新界西貢輋下村公廁	Sai Kung	西貢	Sai Kung	西貢	New Territories	新界	845071	832399	22.430949671	114.262384133
Toilet (Sam A Chung Campsite)	廁所 （三椏涌營地）	Sam A Chung Campsite	三椏涌營地	Others	其他	North	北區	New Territories	新界	846015.770375	840986.48905	22.508493141	114.271614083
Chek Keng Public Toilet	赤徑公廁	Chek Keng Public Toilet, Sai Kung, NT	新界西貢赤徑公廁	Sai Kung	西貢	Sai Kung	西貢	New Territories	新界	854298	831437	22.422190052	114.35200135
Cheung Chau Park Tennis Court Toilet	長洲公園網球場廁所	Cheung Chau Park, Cheung Chau, NT	新界長洲長洲公園	Cheung Chau	長洲	Islands	離島	New Territories	新界	820545	807347.953	22.20467508	114.024391831
Cheung Chau Park Tennis Court Toilet	長洲公園網球場廁所	Cheung Chau, NT	新界長洲	Cheung Chau	長洲	Islands	離島	New Territories	新界	820578	807348	22.204675804	114.024711866
Cheung Chau Peak Road Public Toilet cum Bathhouse	長洲山頂道公廁及浴室	Cheung Chau Peak Road Public Toilet cum Bathhouse, Cheung Chau, NT	新界長洲長洲山頂道公廁及浴室	Cheung Chau	長洲	Islands	離島	New Territories	新界	821151	807656	22.207462354	114.030265948
Cheung Chau Tung Wan Beach Public Toilet and Bathhouse	長洲東灣泳灘公廁及浴室	Cheung Chau, NT	新界長洲	Cheung Chau	長洲	Islands	離島	New Territories	新界	821189	807853	22.20924173	114.030632638
Cheung Ching Bus Terminus Public Toilet	長青巴士站公廁	Tsing Yi, NT	新界青衣	Tsing Yi	青衣	Kwai Tsing	葵青	New Territories	新界	829021	823249	22.348327841	114.106520718
Cheung Fai Road Public Toilet	長輝路公廁	Cheung Fai Road Public Toilet, Tsing Yi, NT	新界青衣長輝路公廁	Tsing Yi	青衣	Kwai Tsing	葵青	New Territories	新界	829465	823523	22.350804026	114.110829889
Cheung Hang Village Aqua Privy	長坑村旱廁	Kwai Chung, NT	新界葵涌	Kwai Chung	葵涌	Kwai Tsing	葵青	New Territories	新界	832691	823205	22.347942043	114.142149055
Cheung Lek Mei Street Public Toilet	長瀝尾街公廁	Cheung Lek Mei Street Public Toilet, Fo Tan, Sha Tin, NT	新界沙田火炭長瀝尾街公廁	Fo Tan	火炭	Sha Tin	沙田	New Territories	新界	837817	828833	22.398768901	114.19191745
Toilet (Near Wilson Trail - Section No. 10 Finishing Point, Nam Chung)	廁所 （南涌 近衞奕信徑 - 第10段 終點）	Near Wilson Trail - Section No. 10 Finishing Point, Nam Chung	南涌 近衞奕信徑 - 第10段 終點	Others	其他	North	北區	New Territories	新界	839730	841612	22.514166101	114.21052336
Cheung Ngau Shan Aqua Privy	掌牛山旱廁	Cheung Ngau Shan Aqua Privy, Shap Pat Heung, Yuen Long, NT	新界元朗十八鄉掌牛山旱廁	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	822692	831472	22.422547291	114.045009129
Cheung Po Chai Cave Picnic Area Toilet	張保仔洞郊遊區洗手間	Cheung Po Chai Cave Picnic Area Toilet, Cheung Chau, NT	新界長洲張保仔洞郊遊區洗手間	Cheung Chau	長洲	Islands	離島	New Territories	新界	819931	806910	22.200714379	114.018441681
Cheung Po Tsuen Public Toilet	長莆村公廁	Cheung Po Tsuen Public Toilet, Pat Heung, Yuen Long, NT	新界元朗八鄉長莆村公廁	Pat Heung	八鄉	Yuen Long	元朗	New Territories	新界	825454	830749	22.416037926	114.071841623
Cheung Sha Wan Temporary Wholesale Poultry Market Toilet	長沙灣臨時家禽批發市場廁所	Cheung Sha Wan Temporary Wholesale Poultry Market Toilet, Cheung Sha Wan, KLN	九龍長沙灣長沙灣臨時家禽批發市場廁所	Cheung Sha Wan	長沙灣	Sham Shui Po	深水埗	Kowloon	九龍	833638	821825	22.335481566	114.151344742
Cheung Sha Wan Temporary Wholesale Poultry Market Toilet	長沙灣臨時家禽批發市場廁所	Cheung Sha Wan Temporary Wholesale Poultry Market Toilet, Cheung Sha Wan, KLN	九龍長沙灣長沙灣臨時家禽批發市場廁所	Cheung Sha Wan	長沙灣	Sham Shui Po	深水埗	Kowloon	九龍	833690	821783	22.33510236	114.151849578
Cheung Shue Tan Village No.2 Public Toilet, Tai Po	大埔樟樹灘村公廁（二）	Cheung Shue Tan Village No.2 Public Toilet, Tai Po, Tai Po Kau, Tai Po, NT	新界大埔大埔滘大埔樟樹灘村公廁（二）	Tai Po Kau	大埔滘	Tai Po	大埔	New Territories	新界	838763	831931	22.426744241	114.20110936
Cheung Shue Tan Village Site 1 Public Toilet	樟樹灘村（一）公廁	Cheung Shue Tan Village Site 1 Public Toilet, Tai Po Kau, Tai Po, NT	新界大埔大埔滘樟樹灘村（一）公廁	Tai Po Kau	大埔滘	Tai Po	大埔	New Territories	新界	838555	831874	22.426229795	114.199088888
Cheung Shun Street Public Toilet	長順街公廁	Cheung Shun Street Public Toilet, Cheung Sha Wan, KLN	九龍長沙灣長順街公廁	Cheung Sha Wan	長沙灣	Sham Shui Po	深水埗	Kowloon	九龍	833085	821885	22.336022467	114.145976608
Cheung Tat Road Public Toilet	長達路公廁	Cheung Tat Road Public Toilet, Tsing Yi, NT	新界青衣長達路公廁	Tsing Yi	青衣	Kwai Tsing	葵青	New Territories	新界	829356	823408	22.349765078	114.109772199
Cheung Yuen Road Public Toilet	長源路公廁	Cheung Yuen Road Public Toilet, Kwai Chung, NT	新界葵涌長源路公廁	Kwai Chung	葵涌	Kwai Tsing	葵青	New Territories	新界	832714	823091	22.346912607	114.142372591
Choi Hung Bus Terminus Public Toilet	彩虹巴士總站公廁	Choi Hung Bus Terminus Public Toilet, Ngau Chi Wan, KLN	九龍牛池灣彩虹巴士總站公廁	Ngau Chi Wan	牛池灣	Wong Tai Sin	黃大仙	Kowloon	九龍	839146	821793	22.335192176	114.204811287
Choi Yuen Tsuen Public Toilet	菜園村公廁	Lantau Island, NT	新界大嶼山	Lantau Island	大嶼山	Islands	離島	New Territories	新界	816825	814467	22.268926828	113.988229204
