name_en	name_zh	address_en	address_zh	sub_district_en	sub_district_zh	district_en	district_zh	area_en	area_zh	x	y	lat	long
Tai Mei Tuk Public Toilet	大美督公廁	Tai Mei Tuk Public Toilet, Tai Po, NT	新界大埔大美督公廁	#N/A	大美督	Tai Po	大埔	New Territories	新界	842024	836903	22.471635754	114.23280281
Tai Miu Public Toilet	大廟公廁	Clear Water Bay, Sai Kung, NT	新界西貢清水灣	Clear Water Bay	清水灣	Sai Kung	西貢	New Territories	新界	847979	814598	22.270179554	114.290501093
Tai Mong Che Village Public Toilet	大芒輋村公廁	Tai Mong Che Village Public Toilet, Lam Tsuen Valley, Tai Po, NT	新界大埔林村谷大芒輋村公廁	Tai Po Market	大埔	Tai Po	大埔	New Territories	新界	831247	834043	22.445811047	114.128096684
Tai Mong Tsai Public Toilet	大網仔公廁	Tai Mong Tsai Public Toilet, Tai Mong Tsai, Sai Kung, NT	新界西貢大網仔大網仔公廁	Tai Mong Tsai	大網仔	Sai Kung	西貢	New Territories	新界	848835	828198	22.392989156	114.298913313
Tai Nan Street Public Toilet	大南街公廁	Tai Nan Street Refuse Collection Point, Sham Shui Po, KLN	九龍深水埗大南街垃圾收集站	Sham Shui Po	深水埗	Sham Shui Po	深水埗	Kowloon	九龍	834931	820832	22.326515687	114.163896824
Tai O Road Public Toilet	大澳道公廁	Tai O Road Public Toilet, Tai O, Lantau Island, NT	新界大嶼山大澳大澳道公廁	Lantau Island	大嶼山	Islands	離島	New Territories	新界	803852	812727	22.253018809	113.862395319
Tai O Tai Ping Street Public Toilet	大澳太平街公廁	Tai O Tai Ping Street Public Toilet, Tai O, Lantau Island, NT	新界大嶼山大澳大澳太平街公廁	Lantau Island	大嶼山	Islands	離島	New Territories	新界	804134	812827	22.253927132	113.86512907
Tai Om Village Public Toilet	大庵村公廁	Tai Om Village Public Toilet, Lam Tsuen Valley, Tai Po, NT	新界大埔林村谷大庵村公廁	Tai Po Market	大埔	Tai Po	大埔	New Territories	新界	831777	833789	22.443518785	114.133246212
Tai Peng Public Toilet	南丫島大坪公廁	Tai Peng Public Toilet, Lamma Island, NT	新界南丫島南丫島大坪公廁	Lamma Island	南丫島	Islands	離島	New Territories	新界	830053	810026	22.228919948	114.116590526
Tai Po Centre Public Toilet	大埔中心公廁	Blk. 20, Tai Po Centre, Tai Po	大埔中心20座	Tai Po Market	大埔	Tai Po	大埔	New Territories	新界	835490	834526	22.450179939	114.169316092
Tai Po Kau Sun Wai Public Toilet	大埔滘新圍公廁	Tai Po Kau San Wai Public Toilet, Tai Po Kau, Tai Po, NT	新界大埔大埔滘大埔滘新圍公廁	Tai Po Kau	大埔滘	Tai Po	大埔	New Territories	新界	837527	832889	22.43539679	114.189104341
Tai Po Market MTR Station Public Toilet	港鐵大埔墟站公廁	Tai Po Market MTR Station Public Toilet, Tai Po, NT	新界大埔港鐵大埔墟站公廁	Tai Po Market	大埔墟	Tai Po	大埔	New Territories	新界	835612	833833	22.443921886	114.170501612
Tai Po Mei Village Public Toilet	大埔尾村公廁	Tai Po Mei Village Public Toilet, Tai Po Kau, Tai Po, NT	新界大埔大埔滘大埔尾村公廁	Tai Po Kau	大埔滘	Tai Po	大埔	New Territories	新界	838542	831413	22.422066763	114.198961954
Tai Po Old Market Public Toilet	大埔舊墟公廁	Tai Po Old Market Public Toilet, Tai Po, NT	新界大埔大埔舊墟公廁	Tai Po Market	大埔	Tai Po	大埔	New Territories	新界	835118	835018	22.454622709	114.16570174
Tai Po Plaza Public Toilet	大埔廣場公廁	Yee Fu Court, Tai Po, NT	新界大埔宜富閣	Tai Po Market	大埔	Tai Po	大埔	New Territories	新界	835581	834849	22.453096812	114.170200022
Tai Po Tau South Public Toilet	大埔頭南公廁	Tai Po Tau, Tai Po, NT	新界大埔大埔頭	Tai Po Market	大埔	Tai Po	大埔	New Territories	新界	834167	834998	22.454441198	114.156462464
Tai Po Tau Village North Public Toilet	大埔頭村北公廁	Tai Po Tau Village North Public Toilet, Tai Po, NT	新界大埔大埔頭村北公廁	Tai Po Market	大埔	Tai Po	大埔	New Territories	新界	834407	835153	22.455841195	114.158793965
Luk Keng Public Toilet	鹿頸公廁	Luk Keng Public Toilet, Luk Keng, Sha Tau Kok, NT	新界沙頭角鹿頸鹿頸公廁	Sha Tau Kok	沙頭角	North	北區	New Territories	新界	840230	842747	22.524414481	114.215385958
Luk keng (Wong Uk) Public Toilet	鹿頸（黃屋）公廁	Luk Keng Wong Uk, Luk Keng, Sha Tau Kok, NT	新界沙頭角鹿頸鹿頸黃屋	Sha Tau Kok	沙頭角	North	北區	New Territories	新界	840212	842304	22.520414071	114.215209889
Tai Po Tsai Lower Village Public Toilet	大埔仔下村公廁	Tai Po Tsai, Clear Water Bay, Sai Kung, NT	新界西貢清水灣大埔仔	Clear Water Bay	清水灣	Sai Kung	西貢	New Territories	新界	844741	822118	22.338108632	114.259123989
Tai Po Waterfront Park - Toilet No.6	大埔海濱公園六號廁所（六號）	Tai Po Waterfront Park, Tai Po, NT	新界大埔大埔海濱公園	Tai Po Market	大埔	Tai Po	大埔	New Territories	新界	837777	834677	22.451543043	114.191534545
Tai Po Waterfront Park - Toilet No.6	大埔海濱公園六號廁所（六號）	Tai Po Waterfront Park, Tai Po, NT	新界大埔大埔海濱公園	Tai Po Market	大埔	Tai Po	大埔	New Territories	新界	837768	834680	22.451570142	114.191447112
Tai Po Waterfront Park Toilet No. 2	大埔海濱公園二號廁所	Tai Po Waterfront Park, Tai Po, NT	新界大埔大埔海濱公園	Tai Po Market	大埔	Tai Po	大埔	New Territories	新界	836448	834816	22.452798934	114.178623139
Tai Po Waterfront Park Toilet No.3	大埔海濱公園三號廁所	Tai Po Waterfront Park, Tai Po, NT	新界大埔大埔海濱公園	Tai Po Market	大埔	Tai Po	大埔	New Territories	新界	836720	834748	22.452184813	114.181265662
Tai Po Waterfront Park Toilet No.4	大埔海濱公園四號廁所	Tai Po Waterfront Park, Tai Po, NT	新界大埔大埔海濱公園	Tai Po Market	大埔	Tai Po	大埔	New Territories	新界	836394	834501	22.449954348	114.178098491
Tai Po Waterfront Park Toilet No.5	大埔海濱公園廁所（五號）	Tai Po Waterfront Park, Tai Po, NT	新界大埔大埔海濱公園	Tai Po Market	大埔	Tai Po	大埔	New Territories	新界	837360	834807	22.452717319	114.187483421
Tai Po Waterfront Park Toilet No.5	大埔海濱公園廁所（五號）	Tai Po Waterfront Park, Tai Po, NT	新界大埔大埔海濱公園	Tai Po Market	大埔	Tai Po	大埔	New Territories	新界	837371	834804	22.45269022	114.187590287
Tai Sang Wai (1) Public Toilet	大生圍（1）公廁	Tai Sang Wai (1) Public Toilet, Yuen Long, NT	新界元朗大生圍（1）公廁	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	822486	836854	22.471147406	114.042961589
Tai Sang Wai (2) Public Toilet	大生圍（2）公廁	Tai Sang Wai, Yuen Long, NT	新界元朗大生圍	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	822394	836868	22.471273087	114.042067551
Tai Sang Wai (3) Public Toilet	大生圍（3）公廁	Tai Sang Wai (3) Public Toilet, Yuen Long, NT	新界元朗大生圍（3）公廁	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	822594	836838	22.471003788	114.044011107
Tai Shu Ha Public Toilet	大樹下公廁	Shap Pat Heung, Yuen Long, NT	新界元朗十八鄉	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	821541	832210	22.429202252	114.033822532
Tai Shu Ha Road West Shung Ching San Tsuen Public Toilet	大樹下西路崇正新村公廁	Tai Shu Ha Road West Shung Ching San Tsuen Public Toilet, Shap Pat Heung, Yuen Long, NT	新界元朗十八鄉大樹下西路崇正新村公廁	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	821446	832272	22.429761319	114.032899167
Kat Cheung Crescent Garden Toilet	吉祥街花園廁所	Fanling, NT	新界粉嶺	Fanling	粉嶺	North	北區	New Territories	新界	831675	839631	22.496274252	114.132238439
Tai Tei Tong Public Toilet	大地塘公廁	Tai Tei Tong Public Toilet, Lantau Island, NT	新界大嶼山大地塘公廁	Lantau Island	大嶼山	Islands	離島	New Territories	新界	817150	814286	22.26729592	113.991384648
Tai Tong Kuk Public Toilet	大棠谷公廁	Tai Tong Kuk Public Toilet, Shap Pat Heung, Yuen Long, NT	新界元朗十八鄉大棠谷公廁	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	820512	830759	22.416089914	114.023841644
Tai Tong Road Nam Hang Pai Public Toilet	大棠路南坑排公廁	Tai Tong Road Nam Hang Pai Public Toilet, Shap Pat Heung, Yuen Long, NT	新界元朗十八鄉大棠路南坑排公廁	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	821256	831496	22.422752038	114.031060901
Tai Tong Road Public Toilet and Bathhouse	大棠路公廁及浴室	Tai Tong Road Public Toilet and Bathhouse, Yuen Long, NT	新界元朗大棠路公廁及浴室	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	821018	833614	22.441876404	114.028728889
Tai Tong Tsuen Public Toilet	大棠村公廁	Tai Tong Tsuen Public Toilet, Shap Pat Heung, Yuen Long, NT	新界元朗十八鄉大棠村公廁	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	820653	830966	22.417960509	114.025209096
Toilet (Near to Fanling)	廁所（粉嶺附近）	Fanling, NT	新界粉嶺	Fanling	粉嶺	North	北區	New Territories	新界	833183.216	840974.369	22.508408788	114.146893061
Tai Tseng Wai Public Toilet	大井圍公廁	Yuen Long, NT	新界元朗	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	820136	835972	22.463162027	114.020136831
Tai Tung Tsuen Public Toilet	大洞村公廁	Tai Tung Tsuen Public Toilet, Sai Kung, NT	新界西貢大洞村公廁	Sai Kung	西貢	Sai Kung	西貢	New Territories	新界	845351	831745	22.425042284	114.265100234
Tai Wai PTI Public Toilet	大圍公共交通交匯處公廁	Tai Wai, Sha Tin, NT	新界沙田大圍	Sha Tin	沙田	Sha Tin	沙田	New Territories	新界	836678	825995	22.373140937	114.18085535
Tai Wai Tsuen Public Toilet	大圍村公廁	Tai Wai Tsuen, Yuen Long, NT	新界元朗大圍村	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	821986	834153	22.446752157	114.038127623
Tai Wan Tau Public Toilet	大環頭公廁	Tai Wan Tau Public Toilet, Clear Water Bay, Sai Kung, NT	新界西貢清水灣大環頭公廁	Clear Water Bay	清水灣	Sai Kung	西貢	New Territories	新界	848412	816793	22.289998769	114.294718912
Tai Wan Tsuen Public Toilet	大環村公廁	Tai Wan Tsuen Public Toilet, Sai Kung, NT	新界西貢大環村公廁	Sai Kung	西貢	Sai Kung	西貢	New Territories	新界	846625	828221	22.393211634	114.27745204
Tai Wo Village Public Toilet	大窩村公廁	Tai Wo Village Public Toilet, Tai Po, NT	新界大埔大窩村公廁	Tai Po Market	大埔	Tai Po	大埔	New Territories	新界	833888	836874	22.471381927	114.153749077
Tai Wo Village Toilet	大窩村廁所	Tai Wo Village Toilet, Tai Po, NT	新界大埔大窩村廁所	Tai Po Market	大埔	Tai Po	大埔	New Territories	新界	834046	836781	22.47054231	114.155284418
Tai Yuen Street Public Toilet	大圓街公廁	Tai Yuen Street Public Toilet, Kwai Chung, NT	新界葵涌大圓街公廁	Kwai Chung	葵涌	Kwai Tsing	葵青	New Territories	新界	832072	825714	22.370598289	114.136133257
Tak Wah Park Public Toilet	德華公園公廁	Tak Wah Park Public Toilet, Tsuen Wan, NT	新界荃灣德華公園公廁	Tsuen Wan	荃灣	Tsuen Wan	荃灣	New Territories	新界	830241	825752	22.370936003	114.118355
Tam Kon Shan Road (I) Public Toilet	擔杆山路（一號）公廁	Tam Kon Shan Road (I) Public Toilet, Tsing Yi, NT	新界青衣担杆山路（一號）公廁	Tsing Yi	青衣	Kwai Tsing	葵青	New Territories	新界	827960	824661	22.361074173	114.096213234
Tam Kon Shan Road (II) Public Toilet	擔杆山路（二號）公廁	Tam Kon Shan Road (II) Public Toilet, Tsing Yi, NT	新界青衣擔杆山路（二號）公廁	Tsing Yi	青衣	Kwai Tsing	葵青	New Territories	新界	827426	824650	22.360972173	114.091028773
Toilet (Near to Fanling)	廁所（粉嶺附近）	Fanling, NT	新界粉嶺	Fanling	粉嶺	North	北區	New Territories	新界	833245	838045	22.481955532	114.147499125
Toilet (Near to Fanling)	廁所（粉嶺附近）	Fanling, NT	新界粉嶺	Fanling	粉嶺	North	北區	New Territories	新界	832857	839111	22.491581215	114.143726539
Tan Ka Wan Public Toilet	蛋家灣公廁	Tan Ka Wan Public Toilet, Tan Ka Wan, Sai Kung, NT	新界西貢蛋家灣蛋家灣公廁	Sai Kung	西貢	Sai Kung	西貢	New Territories	新界	855331	834672	22.451392261	114.362073704
Tan Kwai Tsuen (Ying Yin School) Public Toilet	丹桂村（英賢小學）公廁	Tan Kwai Tsuen (Ying Yin School) Public Toilet, Hung Shui Kiu, Yuen Long, NT	新界元朗洪水橋丹桂村（英賢小學）公廁	Hung Shui Kiu	洪水橋	Yuen Long	元朗	New Territories	新界	817797	831968	22.426980593	113.997457829
Tan Kwai Tsuen Road Public Toilet	丹桂村路公廁	Tan Kwai Tsuen Road Public Toilet, Hung Shui Kiu, Yuen Long, NT	新界元朗洪水橋丹桂村路公廁	Hung Shui Kiu	洪水橋	Yuen Long	元朗	New Territories	新界	817847	832571	22.432426479	113.99793652
Tap Mun Ha Wai Public Toilet	塔門下圍公廁	Tap Mun Ha Wai Public Toilet, Grass Island, Sai Kung, NT	新界西貢塔門塔門下圍公廁	Sai Kung	西貢	Sai Kung	西貢	New Territories	新界	855129	837002	22.472435311	114.360138927
Tap Mun New Fishermen's Village North Public Toilet	塔門漁民新村北公廁	Tap Mun New Fishermen's Village North Public Toilet, Grass Island, Sai Kung, NT	新界西貢塔門塔門漁民新村北公廁	Sai Kung	西貢	Sai Kung	西貢	New Territories	新界	854942	836478	22.467705446	114.358315769
Tap Mun New Fishermen's Village South Public Toilet	塔門漁民新村南公廁	Tap Mun New Fishermen's Village South Public Toilet, Grass Island, Sai Kung, NT	新界西貢塔門塔門漁民新村南公廁	Sai Kung	西貢	Sai Kung	西貢	New Territories	新界	854950	836386	22.466874563	114.358392416
Tap Mun Pier Public Toilet	塔門碼頭公廁	Grass Island, Sai Kung, NT	新界西貢塔門	Sai Kung	西貢	Sai Kung	西貢	New Territories	新界	855008	836753	22.470188078	114.358960285
Tat Tung Road Public Toilet	達東路公廁	Tat Tung Road Public Toilet, Tung Chung, Lantau Island, NT	新界大嶼山東涌達東路公廁	Lantau Island	大嶼山	Islands	離島	New Territories	新界	811865	816890	22.29074487	113.940068402
Tat Wan Road Public Toilet	達運路公廁	Tai Po, NT	新界大埔	Tai Po Market	大埔	Tai Po	大埔	New Territories	新界	835000	833197	22.438178171	114.164556776
The Jockey Club Yan Oi Tong Swimming Pool Female Toilet and Changing Room	賽馬會仁愛堂游泳池女廁及更衣室	The Jockey Club Yan Oi Tong Swimming Pool Female Toilet and Changing Room, Tuen Mun, NT	新界屯門賽馬會仁愛堂游泳池女廁及更衣室	Tuen Mun	屯門	Tuen Mun	屯門	New Territories	新界	815384	829255	22.402453305	113.974055021
The Jockey Club Yan Oi Tong Swimming Pool Male Toilet and Changing Room	賽馬會仁愛堂游泳池男廁及更衣室	The Jockey Club Yan Oi Tong Swimming Pool Male Toilet and Changing Room, Tuen Mun, NT	新界屯門賽馬會仁愛堂游泳池男廁及更衣室	Tuen Mun	屯門	Tuen Mun	屯門	New Territories	新界	815403	829247	22.402381293	113.974239648
Tin Fuk Road Public Toilet	天福路公廁	Ping Shan, Yuen Long, NT	新界元朗屏山	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	818878	834648	22.451193441	114.007928704
Tin Hau Road Public Toilet	天后路公廁	Tin Hau Temple Plaza, Tuen Mun, NT	新界屯門天后廟廣場	Tuen Mun	屯門	Tuen Mun	屯門	New Territories	新界	815075	827925	22.390439015	113.971071792
Tin Hau Temple Plaza Public Toilet	天后廟廣場公廁	Tin Hau Temple Plaza Public Toilet, Tuen Mun, NT	新界屯門天后廟廣場公廁	Tuen Mun	屯門	Tuen Mun	屯門	New Territories	新界	814975	827966	22.390808026	113.970100162
Tin Kwong Road Recreation Ground Toilets and Changing Rooms	天光道遊樂場廁所及更衣室	Tin Kwong Road Recreation Ground, Kowloon City, KLN	九龍九龍城天光道遊樂場	Kowloon City	九龍城	Kowloon City	九龍城	Kowloon	九龍	837054	820507	22.32358108	114.184503481
Tin Liu Ha Village Aqua Privy	田寮下旱廁	Tin Liu Ha Village Aqua Privy, Lam Tsuen Valley, Tai Po, NT	新界大埔林村谷田寮下旱廁	Tai Po Market	大埔	Tai Po	大埔	New Territories	新界	832654	834176	22.447015646	114.14176502
Tin Liu Tsuen Public Toilet	田寮村公廁	Tin Liu Tsuen Public Toilet, Shap Pat Heung, Yuen Long, NT	新界元朗十八鄉田寮村公廁	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	820573	832558	22.432336245	114.024416382
Tin Liu Village Public Toilet	田寮村公廁	Tin Liu Village Public Toilet, Sha Tin, NT	新界沙田田寮村公廁	Sha Tin	沙田	Sha Tin	沙田	New Territories	新界	837109	826953	22.381792027	114.185040734
Tin Sam Tsuen Public Toilet	田心村公廁	Tin Sam Tsuen Public Toilet, Hung Shui Kiu, Yuen Long, NT	新界元朗洪水橋田心村公廁	Hung Shui Kiu	洪水橋	Yuen Long	元朗	New Territories	新界	817319	832903	22.435418815	113.992803701
Tin Shui Wai Public Transport Interchange Public Toilet	天水圍公共交通運輸交匯處公廁	Central Park Towers Phase 2, Tin Shui Wai, NT	新界天水圍栢慧豪廷	Tin Shui Wai	天水圍	Yuen Long	元朗	New Territories	新界	836533	825589	22.369474568	114.179447376
Tin Sum San Tsuen Public Toilet	田心新村公廁	Tin Sum San Tsuen Public Toilet, Hung Shui Kiu, Tuen Mun, NT	新界屯門洪水橋田心新村公廁	Tuen Mun	屯門	Tuen Mun	屯門	New Territories	新界	817269	832472	22.43152615	113.992323148
Tin Sum Village Public Toilet	田心村公廁	Tin Sam Village Public Toilet, Sha Tin, NT	新界沙田田心村公廁	Sha Tin	沙田	Sha Tin	沙田	New Territories	新界	817319	832903	22.435418815	113.992803701
Tin Tei Yan Road Public Toilet	天地人路公廁	Tin Tei Yan Road Public Toilet, Hung Shui Kiu, Tuen Mun, NT	新界屯門洪水橋天地人路公廁	Tuen Mun	屯門	Tuen Mun	屯門	New Territories	新界	836533	825589	22.369474568	114.179447376
Tin Yip Road Artificial Sand Court Toilet	天業路人造沙灘球場廁所	Tin Yip Road Artificial Sand Court, Tin Shui Wai, NT	新界天水圍天業路人造沙灘球場	Tin Shui Wai	天水圍	Yuen Long	元朗	New Territories	新界	818735	836125	22.464529881	114.006523154
Tin Yip Road Park Toilets and Changing Rooms	天業路公園廁所及更衣室	Tin Shui Wai, NT	新界天水圍	Tin Shui Wai	天水圍	Yuen Long	元朗	New Territories	新界	818794	836034	22.46370872	114.007097399
Ting Kau Village Public Toilet	汀九村公廁	Ting Kau Village Public Toilet, Ting Kau, Tsuen Wan, NT	新界荃灣汀九汀九村公廁	Ting Kau	汀九	Tsuen Wan	荃灣	New Territories	新界	826360	825615	22.369680819	114.080673172
Tiu Keng Leng PTI Public Toilet	調景嶺公共交通交匯處公廁	Le Point, Tseung Kwan O, NT	新界將軍澳城中駅	Tseung Kwan O	將軍澳	Sai Kung	西貢	New Territories	新界	844063	818492	22.305366942	114.252524808
To Tau Village Public Toilet	渡頭村公厠	To Tau, Wu Kai Sha, NT	新界烏溪沙渡頭	Wu Kai Sha	烏溪沙	Sha Tin	沙田	New Territories	新界	842740	832712	22.433786612	114.239742774
To Uk Tsuen Public Toilet	杜屋村公廁	Pat Heung, Yuen Long, NT	新界元朗八鄉	Pat Heung	八鄉	Yuen Long	元朗	New Territories	新界	827920	832373	22.430717196	114.095784523
To Uk Tsuen Public Toilet (2)	杜屋村公廁（2）	To Uk Tsuen Public Toilet (2), Pat Heung, Yuen Long, NT	新界元朗八鄉杜屋村公廁（2）	Pat Heung	八鄉	Yuen Long	元朗	New Territories	新界	827973	832367	22.430663271	114.09629938
To Yuen Wai Public Toilet	桃園圍公廁	To Yuen Wai Public Toilet, Tuen Mun, NT	新界屯門桃園圍公廁	Tuen Mun	屯門	Tuen Mun	屯門	New Territories	新界	816293	830727	22.415756947	113.982864475
Toilet (Aberdeen P.H.A.B. Barbecue Site; Aberdeen Country Park Entrance)	廁所 （香港仔傷健樂園燒烤場地；香港仔郊野公園 入口）	Aberdeen P.H.A.B. Barbecue Site; Aberdeen Country Park Entrance	香港仔傷健樂園燒烤場地；香港仔郊野公園 入口	Aberdeen	香港仔	Southern	南區	Hong Kong	港島	834472	812821	22.254170924	114.159450505
Toilet (Near to Fanling)	廁所（粉嶺附近）	Fanling, NT	新界粉嶺	Fanling	粉嶺	North	北區	New Territories	新界	827839	837541	22.477386088	114.094970317
Toilet (Near to Fanling)	廁所（粉嶺附近）	Fanling, NT	新界粉嶺	Fanling	粉嶺	North	北區	New Territories	新界	835279	839088	22.491376633	114.167263386
Tung Kok Wai Public Toilet	東閣圍公廁	Fanling, NT	新界粉嶺	Fanling	粉嶺	North	北區	New Territories	新界	833821	840093	22.500450717	114.153093112
Toilet (Bride's Pool Road Barbecue Site No. 6, Chung Pui)	廁所 （涌背 新娘潭路燒烤場地6號）	Bride's Pool Road Barbecue Site No. 6, Chung Pui	涌背 新娘潭路燒烤場地6號	Others	其他	Tai Po	大埔	New Territories	新界	843148.345525	838442.94045	22.485537889	114.243734233
Toilet (Bride's Pool Road, Chung Mei)	廁所 （涌尾 新娘潭路）	Bride's Pool Road, Chung Mei	涌尾 新娘潭路	Others	其他	Tai Po	大埔	New Territories	新界	842874.614675	839772.417525	22.497544677	114.241079793
Toilet (Cheung Sha Catchwater Picnic Site)	廁所 （長沙郊遊場地）	Cheung Sha Catchwater Picnic Site	長沙郊遊場地	Lantau Island	大嶼山	Islands	離島	New Territories	新界	812488	811128	22.238719371	113.946199215
Toilet (Cheung Sheung Campsite)	廁所 （嶂上營地）	Cheung Sheung Campsite	嶂上營地	Others	其他	Tai Po	大埔	New Territories	新界	849943.549225	832137.583925	22.428556962	114.309712311
Toilet (Cheung Yuen Road Junction)	廁所 （長源路口）	Cheung Yuen Road Junction	長源路口	Others	其他	Sha Tin	沙田	New Territories	新界	833767	823312.0095	22.348910299	114.152594634
Toilet (Chuen Lung Barbecue Site No. 2, Rotary Park Nature Trail Finishing Point)	廁所（川龍燒烤場地2號；扶輪公園自然教育徑終點）	Chuen Lung Barbecue Site No. 2, Rotary Park Nature Trail Finishing Point	川龍燒烤場地2號；扶輪公園自然教育徑終點	Others	其他	Tsuen Wan	荃灣	New Territories	新界	829277.56675	828761.916775	22.398113452	114.108987335
Toilet (Clear Water Bay Management Centre,Tai Hang Tun)	廁所 （大坑墩 清水灣管理站）	Clear Water Bay Management Centre,Tai Hang Tun	大坑墩 清水灣管理站	Clear Water Bay	清水灣	Sai Kung	西貢	New Territories	新界	849060	816949	22.291402854	114.301008294
Toilet (Eastern end of Main Dam, Plover Cove Reservoir Country Trail Finishing Point)	廁所 （船灣淡水湖郊遊徑終點 主壩東端）	Eastern end of Main Dam, Plover Cove Reservoir Country Trail Finishing Point	船灣淡水湖郊遊徑終點 主壩東端	Shuen Wan	船灣	Tai Po	大埔	New Territories	新界	843602.70145	835050.538125	22.454901179	114.24813376
Toilet (Fei Ngo Shan Picnic Site No. 1)	廁所 （飛鵝山郊遊場地一號）	Fei Ngo Shan Picnic Site No. 1	飛鵝山郊遊場地一號	Others	其他	Sai Kung	西貢	New Territories	新界	841261.34555	823457.15995	22.350215635	114.225350272
Toilet (Fei Ngo Shan Picnic Site No. 2; Halfway along Wilson Trail - Section No. 4)	廁所 （飛鵝山郊遊場地二號；衞奕信徑 - 第四段 中間位）	Fei Ngo Shan Picnic Site No. 2; Halfway along Wilson Trail - Section No. 4	飛鵝山郊遊場地二號；衞奕信徑 - 第四段 中間位	Others	其他	Sai Kung	西貢	New Territories	新界	840832.261725	823767.731875	22.353021467	114.221185572
Toilet (Fei Ngo Shan Picnic Site No. 3; Junction of Fei Ngo Shan Road and Jat's Incline)	廁所 （飛鵝山郊遊場地三號；飛鵝山道及扎山道 交界）	Fei Ngo Shan Picnic Site No. 3; Junction of Fei Ngo Shan Road and Jat's Incline	飛鵝山郊遊場地三號；飛鵝山道及扎山道 交界	Others	其他	Wong Tai Sin	黃大仙	Kowloon	九龍	840131.82	824063.569	22.35569476	114.214386194
Toilet (Fu Tei Barbecue Site No. 1, near Fu Tei Road)	廁所（近富地路 虎地燒烤場地1號 ）	Fu Tei Barbecue Site No. 1, near Fu Tei Road	近富地路 虎地燒烤場地1號	Others	其他	Tuen Mun	屯門	New Territories	新界	816880	829752	22.406959009	113.988577632
Toilet (Halfway along MacLehose Trail - Section No. 10, Pak Shek Hang)	廁所（白石坑 麥理浩徑 - 第十段 中間位）	Halfway along MacLehose Trail - Section No. 10, Pak Shek Hang	白石坑 麥理浩徑 - 第十段 中間位	Others	其他	Tuen Mun	屯門	New Territories	新界	819805.7479	827018.017425	22.382300443	114.017020696
Toilet (Halfway along MacLehose Trail Section No. 10, near Wong Nai Tun Irrigation Reservoir)	廁所（近黃泥墩灌溉水塘；麥理浩徑 - 第十段 中間位）	Halfway along MacLehose Trail Section No. 10, near Wong Nai Tun Irrigation Reservoir	近黃泥墩灌溉水塘；麥理浩徑 - 第十段 中間位	Others	其他	Tuen Mun	屯門	New Territories	新界	820175.961675	828085.814625	22.391946681	114.02060481
Toilet (Halfway along Twisk Mountain Bike Trail)	廁所（荃錦越野單車徑 中間位）	Halfway along Twisk Mountain Bike Trail	荃錦越野單車徑 中間位	Others	其他	Yuen Long	元朗	New Territories	新界	827475	828902	22.39937018	114.091481089
Tai Lung Experimental Farm Toilet	大龍實驗農場廁所	Tai Lung Experimental Farm, Fanling, NT	新界粉嶺大龍實驗農場	Fanling	粉嶺	North	北區	New Territories	新界	830187	838425	22.485378939	114.117782295
Toilet (Hau Tong Kai Campsite)	廁所 （猴塘溪營地）	Hau Tong Kai Campsite	猴塘溪營地	Others	其他	Tai Po	大埔	New Territories	新界	851779	833566	22.44144053	114.327554911
Toilet (High Island Reservoir East Dam Picnic Site)	廁所 （萬宜水庫東壩郊遊場地）	High Island Reservoir East Dam Picnic Site	西貢萬宜東壩郊遊場地	Sai Kung	西貢	Sai Kung	西貢	New Territories	新界	856266	824732	22.361618945	114.371032533
Toilet (High Island Reservoir East Dam; MacLehose Trail - Section No. 1)	廁所 （萬宜水庫東壩；麥理浩徑 - 第一段）	High Island Reservoir East Dam; MacLehose Trail - Section No. 1	萬宜水庫東壩；麥理浩徑 - 第一段	Others	其他	Sai Kung	西貢	New Territories	新界	856596.10145	825169.527925	22.365566161	114.374243003
Toilet (High Island Reservoir West Col Dam, Sheung Yiu Country Trail Finishing Point)	廁所 （萬宜水庫西副壩；上窰郊遊徑 終點）	High Island Reservoir West Col Dam, Sheung Yiu Country Trail Finishing Point	萬宜水庫西副壩；上窰郊遊徑 終點	Others	其他	Sai Kung	西貢	New Territories	新界	852630	826908	22.381307812	114.335753468
Toilet (High Island Reservoir West Dam; MacLehose Trail - Section No. 1)	廁所 （萬宜水庫西壩；麥理浩徑 - 第一段）	High Island Reservoir West Dam; MacLehose Trail - Section No. 1	萬宜水庫西壩；麥理浩徑 - 第一段	Others	其他	Sai Kung	西貢	New Territories	新界	853284.185575	825719.485075	22.370568571	114.342093081
Toilet (Ho Pui Campsite)	廁所（河背營地）	Ho Pui Campsite	河背營地	Others	其他	Yuen Long	元朗	New Territories	新界	825451	830149	22.410619623	114.071816558
